X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
16857667.0883,-2225256.1266,1006,1901,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 155),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 155,,Shark S21,1,,present,,,Pacific Ocean,-19.5962,151.435,WGS84,10000,POINT (151.435 -19.5962),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18707685.7058,-5856280.5576,1007,1806,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 60),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 60,,Shark S21,1,,present,,,Pacific Ocean,-46.4718,168.054,WGS84,10000,POINT (168.054 -46.4718),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
17154890.1287,-2419097.9513,1008,1902,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 156),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 156,,Shark S21,1,,present,,,Pacific Ocean,-21.2281,154.105,WGS84,10000,POINT (154.105 -21.2281),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18707685.7058,-5856280.5576,1009,1807,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 61),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 61,,Shark S21,1,,present,,,Pacific Ocean,-46.4718,168.054,WGS84,10000,POINT (168.054 -46.4718),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
17140084.6364,-2699130.1932,1010,1903,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 157),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 157,,Shark S21,1,,present,,,Pacific Ocean,-23.5538,153.972,WGS84,10000,POINT (153.972 -23.5538),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18747092.8055,-5845312.4178,1011,1808,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 62),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 62,,Shark S21,1,,present,,,Pacific Ocean,-46.4039,168.408,WGS84,10000,POINT (168.408 -46.4039),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16981231.7231,-2894991.6977,1012,1904,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 158),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 158,,Shark S21,1,,present,,,Pacific Ocean,-25.1566,152.545,WGS84,10000,POINT (152.545 -25.1566),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18747092.8055,-5845312.4178,1013,1809,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 63),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 63,,Shark S21,1,,present,,,Pacific Ocean,-46.4039,168.408,WGS84,10000,POINT (168.408 -46.4039),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18720264.8082,-5816833.2334,1014,1810,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 64),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 64,,Shark S21,1,,present,,,Pacific Ocean,-46.2272,168.167,WGS84,10000,POINT (168.167 -46.2272),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16938485.0386,-2895557.4378,1015,1905,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 159),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 159,,Shark S21,1,,present,,,Pacific Ocean,-25.1612,152.161,WGS84,10000,POINT (152.161 -25.1612),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18772584.9689,-5827653.1947,1016,1811,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 65),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 65,,Shark S21,1,,present,,,Pacific Ocean,-46.2944,168.637,WGS84,10000,POINT (168.637 -46.2944),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16949060.3902,-2884848.8878,1017,1906,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 160),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 160,,Shark S21,1,,present,,,Pacific Ocean,-25.0741,152.256,WGS84,10000,POINT (152.256 -25.0741),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18744643.7767,-5882536.8413,1018,1812,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 66),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 66,,Shark S21,1,,present,,,Pacific Ocean,-46.634,168.386,WGS84,10000,POINT (168.386 -46.634),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16890617.6576,-2809244.1726,1019,1907,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 161),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 161,,Shark S21,1,,present,,,Pacific Ocean,-24.4574,151.731,WGS84,10000,POINT (151.731 -24.4574),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18744643.7767,-5882536.8413,1020,1813,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 67),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 67,,Shark S21,1,,present,,,Pacific Ocean,-46.634,168.386,WGS84,10000,POINT (168.386 -46.634),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16890617.6576,-2809244.1726,1021,1908,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 162),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 162,,Shark S21,1,,present,,,Pacific Ocean,-24.4574,151.731,WGS84,10000,POINT (151.731 -24.4574),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18728168.4921,-5902938.822,1022,1814,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 68),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 68,,Shark S21,1,,present,,,Pacific Ocean,-46.7597,168.238,WGS84,10000,POINT (168.238 -46.7597),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16909875.9295,-2878275.0824,1023,1909,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 163),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 163,,Shark S21,1,,present,,,Pacific Ocean,-25.0206,151.904,WGS84,10000,POINT (151.904 -25.0206),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18728168.4921,-5902938.822,1024,1815,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 69),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 69,,Shark S21,1,,present,,,Pacific Ocean,-46.7597,168.238,WGS84,10000,POINT (168.238 -46.7597),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
16887723.3508,-2905067.5281,1025,1910,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 164),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 164,,Shark S21,1,,present,,,Pacific Ocean,-25.2385,151.705,WGS84,10000,POINT (151.705 -25.2385),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
