X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
-19606145.32,-5749043.429,11,7,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 7),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 7,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.8043,-176.125,WGS84,10000,POINT (-176.125 -45.8043),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19488480.61,-5380397.199,12,705,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 37),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 37,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.4479,-175.068,WGS84,10000,POINT (-175.068 -43.4479),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19622286.64,-5736787.922,13,8,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 8),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 8,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.7275,-176.27,WGS84,10000,POINT (-176.27 -45.7275),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19595236.01,-5399399.246,14,706,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 38),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 38,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.5717,-176.027,WGS84,10000,POINT (-176.027 -43.5717),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19601692.54,-5502735.858,15,9,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 9),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 9,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.2405,-176.085,WGS84,10000,POINT (-176.085 -44.2405),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19716574.25,-5494612.909,16,707,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 39),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 39,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-44.1882,-177.117,WGS84,10000,POINT (-177.117 -44.1882),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19926745.45,-5700820.968,17,708,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 40),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 40,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-45.5015,-179.005,WGS84,10000,POINT (-179.005 -45.5015),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19961699.77,-5737537.449,18,709,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 41),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 41,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-45.7322,-179.319,WGS84,10000,POINT (-179.319 -45.7322),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-20004223.82,-5784035.753,19,710,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 42),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 42,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-46.023,-179.701,WGS84,10000,POINT (-179.701 -46.023),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19970716.65,-5785190.113,20,711,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 43),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 43,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-46.0302,-179.4,WGS84,10000,POINT (-179.4 -46.0302),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
